,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR1384715,0.9976402,5.8305894e-05,0.00026535988,0.00035974383,0.00016462803,2.3608744e-05,0.00010358515,0.00015553832,3.6411813e-05,0.00010820953,8.2460545e-05,6.149092e-05,0.0009405017
ERR499485,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR1618056,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
DRR047584,0.000709658,0.0002933805,0.9951724,0.0014767593,0.0005500736,0.0002651502,0.00038432487,0.0005201757,0.00011962329,0.00027208868,7.772634e-05,0.00015863153,0.0
SRR6309279,0.9940046,2.8569468e-05,0.00015839934,0.0001668334,6.377699e-05,2.0884754e-05,4.592716e-05,8.475662e-05,1.9847952e-05,5.1727937e-05,5.557881e-05,6.3305786e-05,0.005235791
ERR1701286,0.00027552247,1.7391003e-05,0.0003696978,9.324109e-05,0.0006802976,3.761228e-05,0.00015303493,4.856453e-05,2.9400699e-05,0.00013157725,0.00022730231,7.121925e-05,0.99786514
ERR883579,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
ERR525721,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR6451819,0.99763966,5.8187354e-05,0.00026541948,0.00035971403,0.00016447902,2.3571374e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129476,8.2474624e-05,6.133198e-05,0.0009417534
ERR1811126,0.99762785,5.7976424e-05,0.00026482344,0.00035840273,0.00016367435,2.3556948e-05,0.000103055434,0.00015497208,3.627837e-05,0.00010772744,8.2321785e-05,6.1343795e-05,0.00095802546
SRR994919,0.00027552247,1.73989e-05,0.0003696978,9.327382e-05,0.0006798506,3.7640664e-05,0.00015330315,4.8566286e-05,2.9427545e-05,0.00013160706,0.00022748113,7.1218026e-05,0.997865
ERR2002054,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
ERR499784,0.99116045,2.3540822e-05,0.00014969707,0.0001462996,5.2986557e-05,2.037885e-05,3.883099e-05,7.429143e-05,1.656498e-05,4.184197e-05,5.0825438e-05,6.610667e-05,0.008158147
ERR2003141,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
ERR719548,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR994935,0.00027552247,1.7391003e-05,0.0003696978,9.324109e-05,0.0006802976,3.761228e-05,0.00015303493,4.856453e-05,2.9400699e-05,0.00013157725,0.00022730231,7.121925e-05,0.99786514
ERR500891,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR7449181,0.00027570128,1.7488783e-05,0.00037017465,9.358094e-05,0.00068068504,3.7780672e-05,0.00015369058,4.9547132e-05,2.9603329e-05,0.0001322329,0.00022760034,7.149117e-05,0.99786043
SRR3419436,0.9976505,5.868322e-05,0.00026518106,0.00035989285,0.00016456842,2.3675166e-05,0.00010379905,0.00015619397,3.657263e-05,0.000108733795,8.246243e-05,6.196044e-05,0.0009278059
SRR3094906,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR505229,0.99754775,5.6694415e-05,0.0002604127,0.00034952164,0.00015860796,2.3496053e-05,0.00010033988,0.00015190244,3.555209e-05,0.000105092935,8.121851e-05,6.153451e-05,0.0010678768
DRR042851,0.0007094933,0.00029302892,0.99517095,0.0014781284,0.00055026304,0.0002656319,0.00038418354,0.0005213771,0.00011958344,0.00027149843,7.75183e-05,0.00015836665,0.0
ERR500155,0.99763966,5.81873e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129476,8.2474624e-05,6.133186e-05,0.0009418726
ERR498562,0.99762547,5.7937734e-05,0.00026458502,0.0003578961,0.00016355515,2.3557957e-05,0.00010295023,0.00015482306,3.625184e-05,0.00010762865,8.2264174e-05,6.136603e-05,0.00096172094
DRR044313,0.0007097179,0.0002934402,0.9951725,0.0014766706,0.0005500738,0.00026509078,0.00038432507,0.0005201461,0.00011962129,0.00027202925,7.772134e-05,0.00015860183,0.0
ERR531873,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR6038358,0.99763954,5.818547e-05,0.00026541948,0.00035971403,0.00016441941,2.3571218e-05,0.000103468155,0.0001553595,3.6389734e-05,0.00010812608,8.2473205e-05,6.133198e-05,0.0009420514
ERR525699,0.99763966,5.818752e-05,0.00026541948,0.00035971403,0.00016447902,2.3571396e-05,0.00010347191,0.00015547872,3.639081e-05,0.00010812979,8.2474624e-05,6.133221e-05,0.0009416938
ERR2739192,0.9976397,5.818824e-05,0.00026538968,0.00035977364,0.00016456842,2.3571643e-05,0.0001034726,0.00015547872,3.6390913e-05,0.000108130305,8.2474544e-05,6.133314e-05,0.0009415746
ERR1315318,0.9976394,5.8255093e-05,0.00026541948,0.00035971403,0.00016450882,2.3593708e-05,0.000103525206,0.00015538931,3.640025e-05,0.00010816269,8.24611e-05,6.1425046e-05,0.0009417534
SRR6054437,0.98211944,2.458461e-05,0.00027659535,0.000349015,9.220121e-05,2.0548734e-05,6.274273e-05,0.0002091825,1.7748662e-05,5.2204043e-05,9.996509e-05,7.1033726e-05,0.016604781
ERR501382,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
DRR043757,0.00070959853,0.0002934401,0.9951725,0.0014766998,0.0005501034,0.00026515024,0.00038432493,0.00052017573,0.000119623415,0.0002720887,7.7726574e-05,0.00015854223,0.0
ERR1109492,0.00015345216,0.0001463294,0.0017585158,0.00095036626,0.0028965175,0.00063690543,0.00030380487,0.00018340349,0.00013193488,0.0008520782,0.0027251542,0.0008485019,0.98841304
