,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
SRR7635902,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635745,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636083,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635956,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635918,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636138,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635655,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636260,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635640,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636223,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635697,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635577,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635507,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636183,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636290,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635636,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636360,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635931,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636005,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635958,0.0029222313,0.0002276918,0.0055663427,0.0012320983,0.0036312276,0.97632253,0.007833953,0.0022638987,0.0
SRR7636262,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636063,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636098,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636103,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636269,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635674,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635836,0.0029222316,0.00022766237,0.005566373,0.0012320986,0.003631228,0.97632265,0.007833924,0.0022638694,0.0
SRR7636015,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7635946,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636663,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
SRR7636502,0.002922232,0.0002276624,0.0055662557,0.0012320398,0.0036312286,0.97632277,0.007833925,0.0022638696,0.0
