,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525920,0.10700403,0.3095516,0.58344436,0.0
ERR525924,0.12065722,0.18002504,0.6993178,0.0
ERR525925,0.11634668,0.18070167,0.7029516,0.0
ERR525932,0.69489974,0.19708551,0.108014785,0.0
ERR525936,0.108806044,0.18140948,0.70978445,0.0
ERR525940,0.10454345,0.18220377,0.7132528,0.0
ERR525944,0.13380629,0.18230334,0.68389034,0.0
ERR525945,0.11491263,0.18023975,0.70484763,0.0
ERR525950,0.11397169,0.18051596,0.70551234,0.0
ERR525956,0.078521594,0.4995803,0.4218981,0.0
ERR525960,0.07852816,0.49958128,0.42189053,0.0
ERR525964,0.11328276,0.18236408,0.7043531,0.0
ERR525968,0.55533683,0.2571785,0.18748462,0.0
ERR525972,0.10769531,0.19188358,0.70042115,0.0
ERR525980,0.14116788,0.5656579,0.10951814,0.1836561
ERR525984,0.12127579,0.18250903,0.6962151,0.0
ERR525988,0.11110066,0.18080233,0.708097,0.0
ERR525992,0.08154496,0.38852677,0.5299283,0.0
ERR525996,0.11207872,0.18080819,0.7071131,0.0
ERR526000,0.062293265,0.44454843,0.4931583,0.0
ERR526004,0.60318327,0.3073653,0.08934775,0.00010371208
ERR526008,0.11523086,0.18037753,0.7043916,0.0
ERR526012,0.10967044,0.18115449,0.70917505,0.0
ERR526016,0.10610792,0.1819215,0.7119705,0.0
ERR526020,0.115532316,0.18029393,0.7041737,0.0
ERR526024,0.12439097,0.19440688,0.6812021,0.0
ERR526028,0.06287345,0.6628233,0.11498204,0.15932119
ERR526032,0.08355642,0.4847238,0.43171978,0.0
ERR526036,0.07729005,0.3385849,0.5841251,0.0
ERR526040,0.6032085,0.38297328,0.013818243,0.0
ERR526044,0.11669758,0.18013792,0.7031645,0.0
ERR526048,0.10454345,0.18220377,0.7132528,0.0
ERR526052,0.12462198,0.18516038,0.6902177,0.0
ERR526056,0.102807164,0.6581867,0.20050815,0.038498044
ERR526060,0.1106163,0.18098979,0.708394,0.0
ERR526064,0.10454345,0.18220377,0.7132528,0.0
ERR526068,0.45969045,0.29438484,0.2459247,0.0
ERR526070,0.1127084,0.18075246,0.70653915,0.0
ERR526076,0.062873185,0.6628234,0.11498216,0.15932131
ERR526080,0.062873185,0.6628234,0.11498216,0.15932131
ERR526084,0.10301354,0.42201108,0.4749753,0.0
