,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525972,0.18050554,0.30605227,0.5134422,0.0
ERR525980,0.19004339,0.5459768,0.10857493,0.15540487
ERR525984,0.18599698,0.30593804,0.508065,0.0
ERR525988,0.18718682,0.30656955,0.50624365,0.0
ERR525992,0.2633481,0.461568,0.1804049,0.094679
ERR525996,0.18625116,0.30652052,0.5072284,0.0
ERR526000,0.18632984,0.30745602,0.5062141,0.0
ERR526004,0.14748639,0.5359644,0.1584464,0.15810275
ERR526008,0.18416753,0.3134854,0.5023471,0.0
ERR526012,0.18650585,0.3050967,0.5083974,0.0
ERR526016,0.18502429,0.30746558,0.5075101,0.0
ERR526020,0.18599938,0.30591518,0.5080855,0.0
ERR526024,0.18624279,0.31908295,0.49467427,0.0
ERR526028,0.45294955,0.39532173,0.042469054,0.109259725
ERR526032,0.18741253,0.307061,0.5055265,0.0
ERR526036,0.18774803,0.30497622,0.5072757,0.0
ERR526040,0.39758146,0.37388244,0.03946656,0.18906957
ERR526044,0.18440352,0.31027645,0.5053201,0.0
ERR526048,0.550136,0.38393763,0.036696672,0.029229641
ERR526052,0.18726605,0.30531237,0.50742155,0.0
ERR526056,0.22424267,0.4342438,0.3415135,0.0
ERR526060,0.1876475,0.30479735,0.5075551,0.0
ERR526064,0.43884164,0.38718268,0.044540495,0.12943518
ERR526068,0.38610226,0.38538417,0.04577595,0.18273765
ERR526070,0.18764247,0.30591372,0.50644386,0.0
ERR526076,0.44452685,0.38855755,0.044294894,0.1226207
ERR526080,0.5456199,0.3841496,0.036996305,0.03323418
ERR526084,0.5451445,0.38575703,0.03787619,0.031222284
