,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR107115,0.0018513799,0.002819568,0.63351727,0.007156968,0.0016667843,0.00071901083,0.0036941469,0.0024265945,0.0014500618,0.00060781837,0.0017924905,0.0016100705,0.3406878
ERR1398116,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
DRR047772,0.0014231976,0.004217228,0.9591987,0.00940216,0.001840763,0.0020509276,0.0049866457,0.007819281,0.0032646074,0.0006703039,0.0031360625,0.0019900657,0.0
SRR5165913,0.994174,0.00059339404,0.000521332,0.0009933114,0.00026354194,0.00031286478,0.0001553297,0.00075241923,0.0010156035,0.00036233664,0.00023943186,0.00015237927,0.00046408176
ERR107037,0.001323849,0.0040837824,0.95249104,0.010567933,0.0022570193,0.0015235543,0.0054413676,0.005783677,0.002701521,0.00071272254,0.0027003884,0.0020328164,0.008380294
SRR6028557,0.9940825,0.0005919039,0.00052312016,0.0009976923,0.00026491284,0.00031134486,0.00015518069,0.00075373054,0.001011014,0.0003632605,0.00023955107,0.00015226007,0.00055348873
ERR1311650,0.9941738,0.00059336424,0.000521332,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075238943,0.0010156035,0.00036233664,0.00023940206,0.00015234947,0.00046432018
SRR3501998,0.994174,0.00059339404,0.0005213618,0.0009933114,0.00026354194,0.00031286478,0.0001553297,0.00075241923,0.0010156035,0.00036233664,0.00023943186,0.00015234947,0.00046402216
ERR525853,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
DRR018392,0.001423014,0.004217501,0.95919067,0.009403847,0.0018414005,0.0020512405,0.004987885,0.007822035,0.0032649732,0.00067050627,0.0031363994,0.001990526,0.0
SRR2086949,0.018222004,0.01289171,0.06112355,0.8152268,0.024647176,0.0006567836,0.0038277209,0.0037716627,0.002069205,0.0064874887,0.0030678213,0.001372397,0.046635687
ERR720036,0.9941739,0.00059336424,0.0005213618,0.0009933114,0.00026354194,0.00031280518,0.0001553595,0.00075247884,0.0010156035,0.00036233664,0.00023940206,0.00015234947,0.00046420097
ERR209183,0.99417424,0.00059327483,0.00052139163,0.0009933114,0.00026348233,0.00031289458,0.0001553297,0.00075256824,0.0010157526,0.00036239624,0.00023946166,0.00015234947,0.00046354532
SRR6411738,0.0051761866,0.0010602772,0.0019884408,0.0022379458,0.0019010007,0.00047048926,0.0013870001,0.00090008974,0.0012775064,0.00092050433,0.0010665059,0.0006047785,0.98100924
SRR6932300,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR3361625,0.9941741,0.00059333444,0.00052142143,0.0009933114,0.00026348233,0.0003129542,0.0001553595,0.00075250864,0.0010156631,0.00036239624,0.00023949146,0.00015237927,0.00046360493
ERR2001908,0.9941738,0.00059336424,0.0005213618,0.0009933114,0.00026348233,0.00031286478,0.0001553595,0.00075238943,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.0004643798
ERR1384501,0.9941738,0.00059336424,0.0005213618,0.0009933114,0.00026348233,0.00031286478,0.0001553595,0.00075238943,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.0004643798
SRR6931646,0.0052206516,0.0010569394,0.0019809902,0.002234757,0.0018962026,0.00047022104,0.00138399,0.00090274215,0.0012784302,0.00091797113,0.0010638535,0.0006057024,0.98098755
ERR139323,0.0015168488,0.001742959,0.006786883,0.005172789,0.009147763,0.0007670224,0.0044349134,0.0005879104,0.0014488399,0.0017466843,0.0012817681,0.0010102391,0.96435535
SRR1617811,0.019200534,0.0032032132,0.006151587,0.0032669306,0.01597187,0.0034728944,0.0041080117,0.9137142,0.0034447312,0.003527075,0.002495855,0.0076666176,0.013776541
SRR7453298,0.0051731765,0.001060158,0.0019894838,0.0022379756,0.0019018352,0.00047054887,0.0013874471,0.00090038776,0.001277417,0.00092047453,0.0010670722,0.00060486794,0.9810091
SRR2046678,0.0051752627,0.0010603368,0.0019883811,0.0022380054,0.0019010603,0.00047048926,0.0013870597,0.00090000033,0.0012774467,0.00092053413,0.0010665953,0.0006047785,0.9810101
SRR2010334,0.0016538799,0.015416175,0.089515686,0.010203958,0.07288915,0.016521215,0.6960336,0.0037932098,0.015622735,0.0063787103,0.0100159645,0.03986615,0.0220896
SRR5156058,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR2046673,0.005175233,0.0010603368,0.0019884408,0.0022379756,0.0019011796,0.00047054887,0.0013870299,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
ERR2531953,0.016809136,0.003502518,0.0022646189,0.0042772293,0.006133139,0.0029853284,0.00635913,0.058915794,0.010641158,0.0017956197,0.00941655,0.023830533,0.85306925
SRR6411960,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
ERR1385330,0.99417394,0.00059336424,0.00052139163,0.0009933114,0.00026348233,0.00031286478,0.0001553297,0.00075247884,0.0010155737,0.00036239624,0.00023940206,0.00015237927,0.00046396255
ERR1310253,0.994174,0.00059327483,0.00052148104,0.0009933114,0.00026348233,0.00031286478,0.0001553297,0.00075247884,0.0010156035,0.00036239624,0.00023940206,0.00015237927,0.00046402216
SRR6411504,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR2761272,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR1622924,0.0051722233,0.0010600389,0.0019916,0.002237201,0.0019017459,0.0004706979,0.0013881029,0.00090062624,0.0012776257,0.0009204448,0.0010672213,0.00060534483,0.98100716
ERR1385178,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR1461716,0.9941677,0.00059327483,0.00052145123,0.0009936392,0.00026366115,0.00031277537,0.0001553297,0.00075250864,0.0010153055,0.00036242604,0.00023946166,0.00015237927,0.00047016144
