,root:Host-associated:Human,Unknown
SRR3095050,0.9999927,7.2717667e-06
DRR018766,0.9999927,7.2717667e-06
ERR531836,0.9999927,7.2717667e-06
ERR209323,0.9999927,7.2717667e-06
ERR1111292,0.9999927,7.2717667e-06
SRR1949031,0.9999927,7.2717667e-06
SRR1461259,0.9999927,7.2717667e-06
ERR1315293,0.9999927,7.2717667e-06
SRR3501980,0.9999927,7.2717667e-06
SRR5156053,0.9999927,7.2717667e-06
SRR6367312,0.9999927,7.2717667e-06
ERR2784794,0.9999927,7.2717667e-06
ERR1960830,0.9999927,7.2717667e-06
DRR047556,0.9999927,7.2717667e-06
ERR1384662,0.9999927,7.2717667e-06
SRR6414195,0.9999927,7.2717667e-06
ERR441912,0.9999927,7.2717667e-06
SRR5165729,0.9999927,7.2717667e-06
ERR2511618,0.9999927,7.2717667e-06
ERR2738989,0.9999927,7.2717667e-06
ERR2511831,0.9999927,7.2717667e-06
SRR028696,0.9999927,7.2717667e-06
ERR1310385,0.9999927,7.2717667e-06
SRR1948987,0.9999927,7.2717667e-06
SRR3361636,0.9999927,7.2717667e-06
ERR499547,0.9999927,7.2717667e-06
SRR5643962,0.9999927,7.2717667e-06
ERR2784826,0.9999927,7.2717667e-06
ERR2738878,0.9999927,7.2717667e-06
ERR1681526,0.9999927,7.2717667e-06
SRR3030555,0.9999927,7.2717667e-06
SRR3095184,0.99999267,7.3313713e-06
ERR209622,0.9999927,7.2717667e-06
SRR2046603,0.9999927,7.2717667e-06
ERR2011923,0.9999927,7.2717667e-06
SRR2761320,0.9999927,7.2717667e-06
ERR443771,0.9999927,7.2717667e-06
ERR520861,0.9999927,7.2717667e-06
SRR994484,0.9999927,7.2717667e-06
SRR3037206,0.9999927,7.2717667e-06
DRR042789,0.9999927,7.2717667e-06
SRR6409224,0.9999927,7.2717667e-06
ERR579357,0.9999927,7.2717667e-06
ERR1310075,0.9999927,7.2717667e-06
SRR1922967,0.9999927,7.2717667e-06
ERR2511096,0.9999927,7.2717667e-06
DRR044040,0.9999927,7.2717667e-06
ERR441428,0.9999927,7.2717667e-06
ERR1315618,0.9999927,7.2717667e-06
SRR1145294,0.9999927,7.2717667e-06
SRR1923893,0.9999927,7.2717667e-06
SRR6413861,0.9999927,7.2717667e-06
SRR1060336,0.9999927,7.2717667e-06
ERR1624711,0.9999927,7.2717667e-06
SRR6239874,0.9999927,7.2717667e-06
ERR883449,0.9999927,7.2717667e-06
ERR498796,0.9999927,7.2717667e-06
ERR1310244,0.9999927,7.2717667e-06
ERR500832,0.9999927,7.2717667e-06
SRR5165940,0.9999927,7.2717667e-06
ERR525926,0.9999927,7.2717667e-06
SRR7453376,0.9999927,7.2717667e-06
SRR6414356,0.9999927,7.2717667e-06
SRR1617854,0.9999927,7.2717667e-06
SRR5467971,0.9999927,7.2717667e-06
ERR719567,0.9999927,7.2717667e-06
ERR1313534,0.9999927,7.2717667e-06
ERR209894,0.9999927,7.2717667e-06
SRR8356198,0.9999927,7.2717667e-06
SRR5687812,0.9999927,7.2717667e-06
SRR6054653,0.9999927,7.2717667e-06
DRR042933,0.9999927,7.2717667e-06
SRR6028326,0.9999927,7.2717667e-06
DRR030581,0.9999927,7.2717667e-06
SRR505195,0.9999927,7.2717667e-06
ERR500012,0.9999927,7.2717667e-06
ERR1382480,0.9999927,7.2717667e-06
DRR048223,0.9999927,7.2717667e-06
SRR1461398,0.9999927,7.2717667e-06
DRR042781,0.9999927,7.2717667e-06
ERR1311555,0.9999927,7.2717667e-06
DRR044043,0.9999927,7.2717667e-06
SRR6394112,0.9999927,7.2717667e-06
ERR531570,0.9999927,7.2717667e-06
ERR1309939,0.9999927,7.2717667e-06
SRR7449262,0.9999927,7.2717667e-06
ERR1384896,0.9999927,7.2717667e-06
SRR6411719,0.9999927,7.2717667e-06
SRR1715606,0.9999927,7.2717667e-06
SRR6038208,0.9999927,7.2717667e-06
SRR994874,0.9999927,7.2717667e-06
SRR6411792,0.9999927,7.2717667e-06
ERR1383301,0.9999927,7.2717667e-06
ERR2002116,0.9999927,7.2717667e-06
SRR6038495,0.9999927,7.2717667e-06
SRR6444707,0.9999927,7.2717667e-06
ERR498481,0.9999927,7.2717667e-06
SRR5467783,0.9999927,7.2717667e-06
ERR1311052,0.9999927,7.2717667e-06
ERR560932,0.9999927,7.2717667e-06
ERR522290,0.9999927,7.2717667e-06
ERR1313348,0.9999927,7.2717667e-06
SRR2657979,0.9999927,7.2717667e-06
SRR6264091,0.9999927,7.2717667e-06
ERR1315585,0.9999927,7.2717667e-06
SRR5467799,0.9999927,7.2717667e-06
SRR5644003,0.9999927,7.2717667e-06
ERR1315077,0.9999927,7.2717667e-06
SRR2154898,0.9999927,7.2717667e-06
ERR719361,0.9999927,7.2717667e-06
SRR6309210,0.9999927,7.2717667e-06
SRR028695,0.9999927,7.2717667e-06
ERR1311178,0.9999927,7.2717667e-06
ERR501174,0.9999927,7.2717667e-06
SRR6436941,0.9999927,7.2717667e-06
SRR6931348,0.9999927,7.2717667e-06
SRR3201920,0.9999927,7.2717667e-06
ERR1611380,0.9999927,7.2717667e-06
ERR498963,0.9999927,7.2717667e-06
ERR209116,0.9999927,7.2717667e-06
ERR2510975,0.9999927,7.2717667e-06
ERR531879,0.9999927,7.2717667e-06
SRR6412140,0.9999927,7.2717667e-06
ERR2003147,0.9999927,7.2717667e-06
SRR3094989,0.9999927,7.2717667e-06
SRR6414076,0.9999927,7.2717667e-06
ERR2286253,0.9999927,7.2717667e-06
SRR3501968,0.9999927,7.2717667e-06
SRR1949033,0.9999927,7.2717667e-06
SRR1556864,0.9999927,7.2717667e-06
SRR6931999,0.9999927,7.2717667e-06
ERR365975,0.9999927,7.2717667e-06
SRR7453350,0.9999927,7.2717667e-06
SRR996768,0.9999927,7.2717667e-06
ERR499114,0.9999927,7.2717667e-06
ERR1624729,0.9999927,7.2717667e-06
ERR1328356,0.9999927,7.2717667e-06
ERR1311151,0.9999927,7.2717667e-06
SRR1949215,0.9999927,7.2717667e-06
ERR1971282,0.9999927,7.2717667e-06
DRR060275,0.9999927,7.2717667e-06
ERR719158,0.9999927,7.2717667e-06
DRR047430,0.9999927,7.2717667e-06
SRR6409095,0.9999927,7.2717667e-06
ERR1383571,0.9999927,7.2717667e-06
SRR6394144,0.9999927,7.2717667e-06
ERR1314707,0.9999927,7.2717667e-06
ERR1811202,0.9999927,7.2717667e-06
ERR579803,0.9999927,7.2717667e-06
ERR579681,0.9999927,7.2717667e-06
ERR579552,0.9999927,7.2717667e-06
SRR346819,0.9999927,7.2717667e-06
SRR3362112,0.9999927,7.2717667e-06
ERR1255781,0.9999927,7.2717667e-06
ERR981224,0.9999927,7.2717667e-06
ERR719919,0.9999927,7.2717667e-06
SRR7448804,0.9999927,7.2717667e-06
ERR441140,0.9999927,7.2717667e-06
ERR1311168,0.9999927,7.2717667e-06
SRR7454123,0.9999927,7.2717667e-06
ERR1971206,0.9999927,7.2717667e-06
ERR720197,0.9999927,7.2717667e-06
SRR1633012,0.9999927,7.2717667e-06
SRR6365029,0.9999927,7.2717667e-06
SRR5868778,0.9999927,7.2717667e-06
SRR6451786,0.9999927,7.2717667e-06
SRR5868604,0.9999927,7.2717667e-06
SRR6413829,0.9999927,7.2717667e-06
DRR044099,0.9999927,7.2717667e-06
SRR3030596,0.9999927,7.2717667e-06
SRR1948999,0.9999927,7.2717667e-06
ERR1678099,0.9999927,7.2717667e-06
ERR1384191,0.9999927,7.2717667e-06
SRR6414331,0.9999927,7.2717667e-06
ERR1382443,0.9999927,7.2717667e-06
ERR866513,0.9999927,7.2717667e-06
SRR1948854,0.9999927,7.2717667e-06
SRR2658005,0.9999927,7.2717667e-06
ERR499037,0.9999927,7.2717667e-06
ERR532009,0.9999927,7.2717667e-06
DRR024152,0.9999927,7.2717667e-06
ERR2608886,0.9999927,7.2717667e-06
SRR5983449,0.9999927,7.2717667e-06
SRR7448719,0.9999927,7.2717667e-06
SRR3094682,0.9999927,7.2717667e-06
SRR1950737,0.9999927,7.2717667e-06
ERR2739355,0.9999927,7.2717667e-06
SRR1556874,0.9999927,7.2717667e-06
DRR068087,0.9999927,7.2717667e-06
SRR2010448,0.9999927,7.2717667e-06
SRR996492,0.9999927,7.2717667e-06
SRR5947905,0.9999927,7.2717667e-06
SRR5525184,0.9999927,7.2717667e-06
ERR499500,0.9999927,7.2717667e-06
ERR1382586,0.9999927,7.2717667e-06
SRR1461312,0.9999927,7.2717667e-06
SRR5156143,0.9999927,7.2717667e-06
SRR6932277,0.9999927,7.2717667e-06
ERR579814,0.9999927,7.2717667e-06
ERR1111200,0.9999927,7.2717667e-06
SRR5155950,0.9999927,7.2717667e-06
ERR107183,0.9999927,7.2717667e-06
ERR500712,0.9999927,7.2717667e-06
ERR1310069,0.9999927,7.2717667e-06
SRR6309288,0.9999927,7.2717667e-06
SRR1175848,0.9999927,7.2717667e-06
ERR209352,0.9999927,7.2717667e-06
ERR1310649,0.9999927,7.2717667e-06
SRR6408613,0.9999927,7.2717667e-06
ERR2511309,0.9999927,7.2717667e-06
ERR2739061,0.9999927,7.2717667e-06
SRR3053345,0.9999927,7.2717667e-06
SRR3037184,0.9999927,7.2717667e-06
DRR042740,0.9999927,7.2717667e-06
SRR7454061,0.9999927,7.2717667e-06
ERR499703,0.9999927,7.2717667e-06
SRR3501952,0.9999927,7.2717667e-06
ERR1913054,0.9999927,7.2717667e-06
DRR043930,0.9999927,7.2717667e-06
ERR2511454,0.9999927,7.2717667e-06
ERR531452,0.9999927,7.2717667e-06
ERR1558870,0.9999927,7.2717667e-06
ERR2730169,0.9999927,7.2717667e-06
ERR1382294,0.9999927,7.2717667e-06
ERR1310689,0.9999927,7.2717667e-06
ERR500752,0.9999927,7.2717667e-06
SRR5468026,0.9999927,7.2717667e-06
SRR6408920,0.9999927,7.2717667e-06
SRR6148431,0.9999927,7.2717667e-06
ERR2730352,0.9999927,7.2717667e-06
ERR525790,0.9999927,7.2717667e-06
DRR048082,0.9999927,7.2717667e-06
SRR5831890,0.9999927,7.2717667e-06
SRR5483127,0.9999927,7.2717667e-06
SRR1704689,0.9999927,7.2717667e-06
SRR1617999,0.9999927,7.2717667e-06
ERR2511763,0.9999927,7.2717667e-06
SRR5831824,0.9999927,7.2717667e-06
SRR6413841,0.9999927,7.2717667e-06
ERR1383495,0.9999927,7.2717667e-06
ERR719534,0.9999927,7.2717667e-06
ERR501192,0.9999927,7.2717667e-06
SRR920265,0.9999927,7.2717667e-06
SRR6444173,0.99999267,7.3313713e-06
ERR579769,0.9999927,7.2717667e-06
ERR561528,0.9999927,7.2717667e-06
ERR2511795,0.9999927,7.2717667e-06
SRR2924543,0.9999927,7.2717667e-06
ERR1960738,0.9999927,7.2717667e-06
SRR5467675,0.9999927,7.2717667e-06
ERR866541,0.9999927,7.2717667e-06
SRR1631664,0.9999927,7.2717667e-06
SRR1923774,0.9999927,7.2717667e-06
ERR441592,0.9999927,7.2717667e-06
ERR1384584,0.9999927,7.2717667e-06
ERR520846,0.9999927,7.2717667e-06
DRR043224,0.9999927,7.2717667e-06
SRR1461480,0.9999927,7.2717667e-06
ERR1309702,0.9999927,7.2717667e-06
ERR1384458,0.9999927,7.2717667e-06
SRR3037189,0.9999927,7.2717667e-06
ERR209599,0.9999927,7.2717667e-06
ERR501147,0.9999927,7.2717667e-06
SRR6394136,0.9999927,7.2717667e-06
ERR1382841,0.9999927,7.2717667e-06
SRR1631002,0.9999927,7.2717667e-06
SRR5467664,0.9999927,7.2717667e-06
ERR444487,0.9999927,7.2717667e-06
ERR441195,0.9999927,7.2717667e-06
ERR1382709,0.9999927,7.2717667e-06
SRR3285795,0.99999267,7.3313713e-06
SRR2010493,0.9999927,7.2717667e-06
ERR2511009,0.9999927,7.2717667e-06
ERR2003115,0.9999927,7.2717667e-06
ERR531968,0.9999927,7.2717667e-06
ERR579565,0.9999927,7.2717667e-06
ERR866634,0.99999267,7.3313713e-06
ERR1385507,0.9999927,7.2717667e-06
SRR3503303,0.9999927,7.2717667e-06
SRR6444414,0.9999927,7.2717667e-06
SRR6408704,0.9999927,7.2717667e-06
SRR996925,0.9999927,7.2717667e-06
SRR6264701,0.9999927,7.2717667e-06
SRR1950692,0.9999927,7.2717667e-06
SRR7453903,0.9999927,7.2717667e-06
SRR8356312,0.9999927,7.2717667e-06
ERR450769,0.9999927,7.2717667e-06
ERR2002139,0.9999927,7.2717667e-06
SRR5467653,0.9999927,7.2717667e-06
ERR2002337,0.9999927,7.2717667e-06
SRR6931707,0.9999927,7.2717667e-06
ERR498865,0.9999927,7.2717667e-06
SRR2010262,0.9999927,7.2717667e-06
ERR443962,0.9999927,7.2717667e-06
SRR996919,0.9999927,7.2717667e-06
SRR6444326,0.9999927,7.2717667e-06
ERR520754,0.9999926,7.390976e-06
SRR3581145,0.99999267,7.3313713e-06
DRR047662,0.9999927,7.2717667e-06
DRR043841,0.9999927,7.2717667e-06
SRR6408969,0.9999927,7.2717667e-06
ERR2002192,0.9999927,7.2717667e-06
SRR1632467,0.9999927,7.2717667e-06
ERR1382952,0.9999927,7.2717667e-06
ERR866659,0.9999927,7.2717667e-06
SRR1618107,0.9999927,7.2717667e-06
DRR043163,0.9999927,7.2717667e-06
SRR5155762,0.9999927,7.2717667e-06
SRR5983419,0.9999927,7.2717667e-06
ERR1311130,0.9999927,7.2717667e-06
DRR050764,0.9999927,7.2717667e-06
SRR5688050,0.9999927,7.2717667e-06
ERR441080,0.9999927,7.2717667e-06
ERR1314535,0.9999927,7.2717667e-06
ERR1382662,0.9999927,7.2717667e-06
ERR498635,0.9999927,7.2717667e-06
ERR209820,0.9999927,7.2717667e-06
SRR5196341,0.9999927,7.2717667e-06
SRR1617878,0.9999927,7.2717667e-06
SRR1704586,0.9999927,7.2717667e-06
ERR501265,0.9999927,7.2717667e-06
ERR209272,0.9999927,7.2717667e-06
ERR450900,0.9999927,7.2717667e-06
SRR5178097,0.9999927,7.2717667e-06
ERR500447,0.99999267,7.3313713e-06
DRR043872,0.9999927,7.2717667e-06
SRR5155820,0.9999927,7.2717667e-06
SRR2658731,0.9999927,7.2717667e-06
SRR6408728,0.9999927,7.2717667e-06
SRR6443911,0.9999927,7.2717667e-06
SRR6411907,0.9999927,7.2717667e-06
ERR2001870,0.9999927,7.2717667e-06
SRR6412027,0.9999927,7.2717667e-06
ERR2538392,0.9999927,7.2717667e-06
ERR1383616,0.9999927,7.2717667e-06
SRR346843,0.9999927,7.2717667e-06
ERR1313549,0.9999927,7.2717667e-06
ERR499010,0.9999927,7.2717667e-06
ERR494389,0.9999927,7.2717667e-06
DRR042966,0.9999927,7.2717667e-06
DRR043945,0.9999927,7.2717667e-06
SRR6409282,0.9999927,7.2717667e-06
SRR7966140,0.9999927,7.2717667e-06
ERR1315365,0.9999927,7.2717667e-06
ERR444044,0.9999927,7.2717667e-06
SRR7449301,0.9999927,7.2717667e-06
DRR042917,0.9999927,7.2717667e-06
ERR1314856,0.9999927,7.2717667e-06
SRR5155967,0.9999927,7.2717667e-06
SRR7453820,0.9999927,7.2717667e-06
ERR1314212,0.9999927,7.2717667e-06
SRR6444485,0.9999927,7.2717667e-06
ERR1315681,0.9999927,7.2717667e-06
SRR3419356,0.9999927,7.2717667e-06
ERR2249138,0.9999927,7.2717667e-06
SRR6445012,0.9999927,7.2717667e-06
SRR5520586,0.9999927,7.2717667e-06
ERR531835,0.9999927,7.2717667e-06
SRR2005650,0.9999927,7.2717667e-06
SRR1617687,0.9999927,7.2717667e-06
ERR2511384,0.9999927,7.2717667e-06
ERR531893,0.9999927,7.2717667e-06
ERR1384466,0.9999927,7.2717667e-06
ERR500020,0.9999927,7.2717667e-06
ERR2002350,0.9999927,7.2717667e-06
ERR2739109,0.9999927,7.2717667e-06
ERR500967,0.9999927,7.2717667e-06
SRR6038431,0.9999927,7.2717667e-06
ERR1314020,0.9999927,7.2717667e-06
SRR2658770,0.9999927,7.2717667e-06
ERR499542,0.9999927,7.2717667e-06
ERR499723,0.9999927,7.2717667e-06
SRR505170,0.9999927,7.2717667e-06
ERR579744,0.9999927,7.2717667e-06
SRR5155914,0.9999927,7.2717667e-06
SRR5156068,0.9999927,7.2717667e-06
SRR5165801,0.9999927,7.2717667e-06
SRR6054478,0.9999927,7.2717667e-06
SRR3381549,0.9999927,7.2717667e-06
ERR579443,0.9999927,7.2717667e-06
ERR2730398,0.9999927,7.2717667e-06
SRR3094814,0.9999927,7.2717667e-06
SRR2010485,0.9999927,7.2717667e-06
SRR7448829,0.9999927,7.2717667e-06
SRR1948790,0.9999927,7.2717667e-06
SRR5687901,0.9999927,7.2717667e-06
SRR1632817,0.9999927,7.2717667e-06
SRR2145327,0.9999927,7.2717667e-06
SRR6264293,0.9999927,7.2717667e-06
ERR209234,0.9999927,7.2717667e-06
ERR1311105,0.9999927,7.2717667e-06
SRR1461384,0.9999927,7.2717667e-06
SRR994708,0.9999927,7.2717667e-06
ERR2511769,0.9999927,7.2717667e-06
SRR7449208,0.9999927,7.2717667e-06
ERR500078,0.9999927,7.2717667e-06
ERR1383832,0.9999927,7.2717667e-06
SRR1461630,0.9999927,7.2717667e-06
SRR6264742,0.9999927,7.2717667e-06
SRR6414361,0.9999927,7.2717667e-06
SRR2154935,0.9999927,7.2717667e-06
SRR1949361,0.9999927,7.2717667e-06
SRR2010280,0.9999927,7.2717667e-06
SRR1922893,0.9999927,7.2717667e-06
SRR7453762,0.99999267,7.3313713e-06
ERR1311475,0.9999927,7.2717667e-06
SRR3951244,0.9999927,7.2717667e-06
ERR2198018,0.9999927,7.2717667e-06
SRR5869582,0.9999927,7.2717667e-06
DRR047562,0.9999927,7.2717667e-06
SRR996780,0.9999927,7.2717667e-06
ERR443931,0.9999927,7.2717667e-06
ERR2011876,0.9999927,7.2717667e-06
SRR7448771,0.9999927,7.2717667e-06
SRR2143846,0.9999927,7.2717667e-06
ERR500902,0.9999927,7.2717667e-06
ERR2739204,0.9999927,7.2717667e-06
SRR6932056,0.9999927,7.2717667e-06
DRR048113,0.9999927,7.2717667e-06
ERR1960732,0.9999927,7.2717667e-06
ERR501097,0.9999927,7.2717667e-06
ERR498872,0.9999927,7.2717667e-06
SRR994840,0.9999927,7.2717667e-06
SRR5155958,0.9999927,7.2717667e-06
SRR2658196,0.9999927,7.2717667e-06
ERR441269,0.9999927,7.2717667e-06
ERR1310600,0.9999927,7.2717667e-06
SRR3037277,0.9999927,7.2717667e-06
SRR8484999,0.9999927,7.2717667e-06
SRR5467555,0.9999927,7.2717667e-06
ERR1314263,0.99999267,7.3313713e-06
ERR3040048,0.9999927,7.2717667e-06
SRR6409044,0.9999927,7.2717667e-06
ERR1310104,0.9999927,7.2717667e-06
ERR2739365,0.9999927,7.2717667e-06
DRR048192,0.9999927,7.2717667e-06
ERR981245,0.9999927,7.2717667e-06
SRR919884,0.9999927,7.2717667e-06
SRR5467643,0.9999927,7.2717667e-06
ERR2784678,0.9999927,7.2717667e-06
SRR995045,0.9999927,7.2717667e-06
SRR2154920,0.9999927,7.2717667e-06
SRR2154964,0.9999927,7.2717667e-06
ERR2739379,0.9999927,7.2717667e-06
ERR1913101,0.9999927,7.2717667e-06
ERR499868,0.9999927,7.2717667e-06
SRR7448837,0.9999927,7.2717667e-06
SRR3361612,0.9999927,7.2717667e-06
SRR3095138,0.9999927,7.2717667e-06
SRR1618073,0.9999927,7.2717667e-06
SRR5831826,0.9999927,7.2717667e-06
ERR1913053,0.9999927,7.2717667e-06
ERR451020,0.9999927,7.2717667e-06
SRR3201884,0.9999927,7.2717667e-06
ERR1313434,0.9999927,7.2717667e-06
SRR6414152,0.9999927,7.2717667e-06
SRR3030617,0.9999927,7.2717667e-06
DRR042946,0.9999927,7.2717667e-06
ERR1760054,0.9999927,7.2717667e-06
SRR5983333,0.9999927,7.2717667e-06
ERR2738687,0.9999927,7.2717667e-06
ERR2261914,0.9999927,7.2717667e-06
ERR2247364,0.9999927,7.2717667e-06
SRR3094813,0.9999927,7.2717667e-06
SRR6931552,0.9999927,7.2717667e-06
SRR6411938,0.9999927,7.2717667e-06
SRR7448866,0.9999927,7.2717667e-06
ERR1971278,0.9999927,7.2717667e-06
SRR5156106,0.9999927,7.2717667e-06
SRR6444508,0.9999927,7.2717667e-06
ERR368893,0.9999927,7.2717667e-06
ERR1759951,0.9999927,7.2717667e-06
SRR6931943,0.9999927,7.2717667e-06
ERR107203,0.9999927,7.2717667e-06
ERR1383703,0.9999927,7.2717667e-06
ERR866530,0.9999927,7.2717667e-06
ERR1109536,0.9999927,7.2717667e-06
SRR6394109,0.9999927,7.2717667e-06
ERR500843,0.9999927,7.2717667e-06
SRR920204,0.9999927,7.2717667e-06
ERR441709,0.9999927,7.2717667e-06
SRR4303969,0.9999927,7.2717667e-06
DRR042875,0.9999927,7.2717667e-06
SRR6931263,0.9999927,7.2717667e-06
SRR2923748,0.9999927,7.2717667e-06
ERR525694,0.9999927,7.2717667e-06
SRR6931221,0.9999927,7.2717667e-06
SRR6028517,0.9999927,7.2717667e-06
ERR1297807,0.9999927,7.2717667e-06
SRR6264169,0.9999927,7.2717667e-06
SRR5467903,0.9999927,7.2717667e-06
ERR1382689,0.9999927,7.2717667e-06
SRR1923874,0.9999927,7.2717667e-06
ERR2739016,0.9999927,7.2717667e-06
SRR1632401,0.9999927,7.2717667e-06
SRR6411710,0.9999927,7.2717667e-06
SRR3094874,0.9999927,7.2717667e-06
SRR919908,0.9999927,7.2717667e-06
SRR1617734,0.9999927,7.2717667e-06
ERR2739401,0.9999927,7.2717667e-06
DRR044060,0.9999927,7.2717667e-06
SRR1631289,0.9999927,7.2717667e-06
ERR2511278,0.9999927,7.2717667e-06
SRR5525228,0.9999927,7.2717667e-06
ERR531892,0.9999927,7.2717667e-06
SRR2086950,0.9999927,7.2717667e-06
ERR1314146,0.9999927,7.2717667e-06
ERR1987769,0.9999927,7.2717667e-06
SRR7453373,0.9999927,7.2717667e-06
SRR7454032,0.9999927,7.2717667e-06
ERR1913099,0.9999927,7.2717667e-06
SRR6414180,0.9999927,7.2717667e-06
DRR060303,0.9999927,7.2717667e-06
SRR2145292,0.9999927,7.2717667e-06
ERR365953,0.9999927,7.2717667e-06
ERR441245,0.9999927,7.2717667e-06
ERR2511649,0.9999927,7.2717667e-06
