,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR6265143,0.03989759,0.0008185804,0.0027542114,0.016583532,0.93994606
ERR720213,0.02111864,0.0010917783,0.00062182546,0.0038399398,0.9733278
ERR719575,0.014053017,0.0010998547,0.0007273257,0.003405273,0.98071456
SRR5079123,0.009338021,0.0014735758,0.0007837713,0.0024711788,0.9859334
SRR5934960,0.009854883,0.0013914406,0.0012573898,0.0032368004,0.9842595
SRR6424655,0.026584355,0.00018997841,0.021829523,0.9513961,0.0
SRR5813189,0.007369578,0.00072309375,0.0007583201,0.002767235,0.98838174
SRR7507622,0.020077348,0.0025305152,0.0013129711,0.0032724738,0.9728067
SRR1687065,0.9326055,0.012307048,0.0008357167,0.011063427,0.043188334
SRR5803614,0.3993674,0.014020622,0.0013345778,0.004910916,0.5803665
SRR5549076,0.93525064,0.011023432,0.001132518,0.016707957,0.035885513
SRR5866547,0.29302895,0.0013042688,0.00046101213,0.0100106895,0.6951951
ERR719905,0.0073975325,0.00072962046,0.0007559955,0.0027558208,0.988361
SRR5203403,0.0073551536,0.000718534,0.00075775385,0.0027677119,0.9884008
ERR525841,0.007318765,0.0006991923,0.00075161457,0.0027639866,0.98846644
SRR5610071,0.007612139,0.0008288324,0.0008019805,0.0027481914,0.98800886
SRR6182446,0.007879108,0.00089645386,0.00075623393,0.002674371,0.9877938
SRR7423288,0.018164784,0.010734022,0.004323542,0.0019470155,0.96483064
SRR5629121,0.85824823,0.009739429,0.0011969209,0.008425772,0.122389674
SRR6182354,0.006772995,0.00079640746,0.001006186,0.003096342,0.9883281
SRR5079071,0.009989768,0.0014070272,0.0007843971,0.00251773,0.9853011
ERR011350,0.011557758,0.00087475777,0.0008877218,0.0029272437,0.9837525
ERR209152,0.014450103,0.0018124878,0.0010103285,0.002746433,0.97998065
SRR5757771,0.010170519,0.0036975741,0.0016218424,0.0028050542,0.981705
SRR5548755,0.86701137,0.0041352212,0.00062695146,0.009802401,0.11842412
SRR5761761,0.02241522,0.00016021729,0.015080541,0.36080343,0.60154057
ERR719135,0.0075396895,0.0008057654,0.00080502033,0.0028081536,0.9880414
SRR5202882,0.7254542,0.0008623004,0.0003837943,0.018080056,0.25521964
ERR209358,0.08412814,0.0014754832,0.00088378787,0.0043320656,0.9091805
SRR6474280,0.9420962,0.009546816,0.00091072917,0.013620883,0.033825397
SRR6264521,0.1982711,0.0005350709,0.00077167153,0.023335308,0.77708685
SRR6185241,0.07762879,0.00045403838,0.00023984909,0.009910464,0.9117669
SRR7507341,0.010220528,0.0022296011,0.0008766055,0.002377361,0.9842959
SRR5711561,0.21069336,0.6038894,0.045616895,0.0006904006,0.13910991
SRR5549008,0.94592077,0.02292478,0.0010423362,0.011815101,0.018297076
SRR064903,0.13594946,0.001121223,0.00030252337,0.008992106,0.8536347
SRR5548429,0.012277752,0.0011171699,0.0044647157,0.00832051,0.97381985
