,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR1598633,0.00013712006,0.00022532178,0.000116666815,0.0006586878,4.8502516e-05,0.99678737,0.00062106975,0.0009303407,8.713983e-05,0.00020066931,0.00017854453,8.437022e-06,0.0
ERR1599440,3.7278005e-05,7.012956e-05,3.742812e-05,0.000110891095,3.848838e-05,0.997539,0.0008323407,0.0004823265,2.2094451e-05,0.0004220952,0.00040170056,6.1644337e-06,0.0
ERR1598948,7.5308104e-05,4.7465477e-05,3.2437867e-05,0.00011555631,4.437821e-05,0.9975081,0.0010325596,0.00044899588,5.2111638e-05,0.00030495867,0.00033202706,6.135554e-06,0.0
ERR1598347,1.5818534e-05,0.000113284645,4.594927e-05,0.00012445328,3.296133e-05,0.9978461,0.0006647735,0.00050537917,1.0164386e-05,0.00035259777,0.00028328164,5.1300285e-06,0.0
ERR1598486,3.0009352e-05,0.00019544363,9.848738e-05,0.00019669533,3.0486932e-05,0.9974711,0.00047430396,0.0004810393,2.1731023e-05,0.0004017949,0.0004657805,5.6434856e-06,0.00012743473
ERR1599465,4.346863e-05,0.00014260228,6.417542e-05,0.00019008672,6.866913e-05,0.99617887,0.00056921755,0.00058452936,5.6659566e-05,0.000518635,0.0015701145,1.2927438e-05,0.0
ERR1599355,8.7197346e-05,0.00018571128,9.820171e-05,0.0004942676,4.024348e-05,0.9973994,0.00056466466,0.00080565177,6.526016e-05,0.000140169,0.000113980524,5.104663e-06,0.0
ERR1598963,2.010329e-05,5.936237e-05,4.8488935e-05,0.00011254872,6.580868e-05,0.996682,0.00080720586,0.0004959014,2.0944943e-05,0.00052773464,0.0011521005,7.883117e-06,0.0
ERR1598917,1.6037278e-05,4.477198e-05,0.00031722995,0.00053622574,0.00019938468,0.995601,0.0008625619,0.00050087215,3.3675275e-05,0.00022253711,0.0016574224,8.367535e-06,0.0
ERR1599488,9.6546384e-05,0.0002434168,0.00013957126,0.00073346304,4.7060217e-05,0.99685895,0.0005705704,0.0008209777,6.785686e-05,0.00019522723,0.00021792392,8.463091e-06,0.0
ERR1599244,9.800611e-06,5.0358158e-05,2.2453985e-05,4.78277e-05,2.9545623e-05,0.99770606,0.0008150339,0.00033190846,6.831302e-06,0.00039878488,0.00035390258,3.6952092e-06,0.00022375584
ERR1599185,0.0002514395,0.00026789127,0.00016481505,0.0010050748,5.673659e-05,0.99577194,0.0006006989,0.0012293124,0.00012371523,0.0002799777,0.00023448282,1.3918334e-05,0.0
ERR1598875,1.7628117e-05,0.00013184812,6.625373e-05,0.00019960463,3.4860328e-05,0.9978618,0.00059577473,0.0005332325,1.3593429e-05,0.0002711751,0.00026929792,4.900331e-06,0.0
ERR1598375,1.3435763e-05,0.00060076814,0.00078173925,3.3660803e-07,6.42237e-05,0.00047967455,0.00061269605,0.00012591234,7.047609e-05,0.9959537,0.0012625144,3.4520293e-05,0.0
ERR1598575,1.2112115e-05,1.3942661e-05,0.00014173542,4.3593533e-05,0.00010425977,0.927936,0.00013918163,0.0002549931,6.434693e-05,0.005753336,0.0655242,1.2232295e-05,0.0
ERR1598287,1.2250566e-05,6.68242e-05,2.8401366e-05,4.5332177e-05,2.3796518e-05,0.9969985,0.0006875098,0.0002951026,8.177947e-06,0.0004568994,0.000377357,3.1570798e-06,0.0009966493
ERR1599602,9.477931e-06,0.00018900633,6.024209e-05,0.00016283989,2.722013e-05,0.99783826,0.00051543117,0.0005297959,7.527996e-06,0.00020369887,0.0001437068,3.3052547e-06,0.00030946732
ERR1599307,5.00135e-05,0.00010288326,5.0774946e-05,0.00016291665,5.616148e-05,0.9970207,0.00070499943,0.00059788715,4.8643265e-05,0.00043955634,0.00075675396,8.6642385e-06,0.0
ERR1599573,5.2409567e-05,8.146241e-05,4.5202454e-05,0.00015546723,4.07332e-05,0.99753815,0.0008075841,0.0005379726,3.198393e-05,0.0003572888,0.00034535042,6.4978185e-06,0.0
ERR1599470,3.7032496e-05,0.0001905,8.780823e-05,0.00029414915,5.2003918e-05,0.9963731,0.00051556516,0.000505379,3.577997e-05,0.00047499905,0.0014181766,1.545553e-05,0.0
ERR1599255,1.29113305e-05,0.00012716651,5.1236428e-05,0.00013381243,3.1325668e-05,0.9979006,0.0006005466,0.0004955828,9.597979e-06,0.00028055906,0.00024065375,4.14802e-06,0.00011181831
ERR1598147,1.909778e-05,9.8400604e-05,4.522749e-05,8.94405e-05,4.013175e-05,0.997304,0.0006221395,0.00047861467,1.41637765e-05,0.0005521354,0.0007297831,6.7841206e-06,0.0
ERR1598096,7.606054e-05,0.00018619481,7.678967e-05,0.00025493224,4.7563663e-05,0.9967633,0.0007478131,0.0007350531,4.4618693e-05,0.0004977588,0.0005601906,9.757955e-06,0.0
ERR1599224,1.2078126e-05,2.7142607e-05,1.4944223e-05,2.8890096e-05,3.219943e-05,0.9974022,0.0010223439,0.0002794927,7.571638e-06,0.00058418803,0.0005845455,4.349768e-06,0.0
