,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
ERR695607,0.04226151,0.009455204,0.008837312,0.939446
SRR5399639,0.36577734,0.02495414,0.009144068,0.6001245
SRR1930777,0.08846027,0.011297584,0.008730203,0.8915119
SRR5429278,0.15588263,0.6561418,0.14666548,0.041310072
SRR5602195,0.041770637,0.009418339,0.00870648,0.94010454
SRR6182545,0.04171738,0.009412825,0.008660704,0.9402091
SRR2914170,0.09366652,0.012140721,0.008744955,0.8854478
SRR5866253,0.041719973,0.009412974,0.0086607635,0.9402063
SRR5495964,0.04171738,0.009412825,0.008660704,0.9402091
SRR5649166,0.04171738,0.009412825,0.008660704,0.9402091
SRR5648962,0.043212086,0.009512514,0.00888437,0.93839103
SRR5580502,0.04385996,0.009560108,0.009121507,0.9374584
ERR209139,0.044886798,0.0095252395,0.008665711,0.93692225
SRR1766060,0.042081743,0.009430766,0.008676618,0.9398109
SRR6281246,0.04171872,0.009412885,0.008660704,0.9402077
SRR5813477,0.04171741,0.0094129145,0.008660704,0.940209
SRR6024859,0.04171738,0.009412825,0.008660704,0.9402091
SRR6876204,0.13511547,0.014223516,0.008793205,0.8418678
SRR6901836,0.041787624,0.009419233,0.008660942,0.9401322
SRR1687039,0.713625,0.05846396,0.009639502,0.2182715
SRR5866300,0.041743755,0.009414136,0.008660853,0.94018126
SRR5813317,0.04616618,0.009645224,0.008669943,0.9355186
SRR5757826,0.045335174,0.18751667,0.76714814,0.0
ERR720139,0.041804224,0.009417355,0.008661389,0.940117
SRR6281236,0.04260543,0.00947085,0.008709282,0.93921447
SRR5813237,0.041751623,0.009414643,0.008660823,0.9401729
ERR209318,0.06499985,0.010573477,0.008830905,0.91559577
SRR5343088,0.04171738,0.009412825,0.008660704,0.9402091
SRR5343086,0.04171738,0.009412825,0.008660704,0.9402091
SRR5610059,0.041721344,0.009413004,0.008661389,0.94020426
ERR525991,0.041735053,0.00941366,0.008660823,0.94019043
ERR634987,0.1902825,0.017798394,0.008856952,0.78306216
SRR6182510,0.04176393,0.009416133,0.0086609125,0.940159
SRR7008046,0.0417175,0.0094129145,0.008660704,0.9402089
SRR5078598,0.04171738,0.009412825,0.008660704,0.9402091
SRR5429105,0.15242067,0.5539949,0.07830945,0.21527505
SRR5203097,0.0417189,0.009412944,0.008660853,0.9402073
SRR5803613,0.04171765,0.0094129145,0.008660704,0.94020873
SRR5758086,0.07418078,0.014265835,0.028003097,0.8835503
SRR6724580,0.820163,0.07759616,0.009324789,0.09291601
SRR6264412,0.04171738,0.009412825,0.008660704,0.9402091
ERR209870,0.041722655,0.009413004,0.0086607635,0.94020355
SRR5983478,0.44676393,0.026468366,0.009166777,0.5176009
ERR525720,0.045952827,0.009639233,0.008676767,0.9357312
SRR961704,0.15156958,0.016051173,0.0088247955,0.82355446
SRR5601982,0.041718006,0.009412944,0.008660704,0.9402083
ERR719075,0.041768014,0.009416491,0.008681029,0.94013447
ERR718993,0.041983932,0.009423405,0.008661509,0.93993115
ERR321347,0.049611807,0.009902954,0.008677691,0.9318075
SRR5218382,0.75762177,0.065694064,0.00926891,0.16741526
ERR526006,0.057764232,0.013463527,0.030620396,0.8981519
ERR011192,0.041864276,0.009419978,0.008674651,0.94004107
SRR7507391,0.04172024,0.009412974,0.0086607635,0.94020605
SRR5813439,0.045684993,0.00964123,0.008699417,0.93597436
SRR5866440,0.055440426,0.009970397,0.008684933,0.9259043
DRR067938,0.027219491,0.15265341,0.8201271,0.0
SRR5761701,0.04171738,0.009412825,0.008660704,0.9402091
SRR7690045,0.3572116,0.03046918,0.009019762,0.6032995
SRR5803610,0.18381193,0.015070051,0.009296685,0.79182136
SRR5802296,0.041717708,0.009412885,0.008661479,0.94020796
ERR719248,0.11558652,0.012742668,0.008763343,0.86290747
ERR011184,0.041873425,0.009420842,0.008681536,0.9400242
ERR695598,0.044528604,0.009571642,0.008667976,0.9372318
SRR5079219,0.041718185,0.009412885,0.008660704,0.9402082
SRR6182457,0.04171738,0.009412825,0.008660704,0.9402091
SRR7008045,0.04171738,0.009412825,0.008660704,0.9402091
SRR5758078,0.04866278,0.012761563,0.028298974,0.91027665
ERR719643,0.04184425,0.009419292,0.008661091,0.9400754
SRR5548987,0.8200774,0.077587664,0.00932464,0.09301031
SRR6264473,0.04171738,0.009412825,0.008660704,0.9402091
SRR5813328,0.041754693,0.009414375,0.008660853,0.94017005
SRR5757972,0.032956988,0.14346626,0.77997315,0.0436036
SRR6265397,0.04171738,0.009412825,0.008660704,0.9402091
SRR1693347,0.8200116,0.07788628,0.009417057,0.092685044
SRR5399502,0.04171738,0.009412825,0.008660704,0.9402091
SRR6265277,0.053084582,0.070691824,0.40449673,0.4717269
SRR5761754,0.041725963,0.009413242,0.008661747,0.940199
ERR719158,0.043546945,0.009521872,0.008737981,0.9381932
SRR5079082,0.04171738,0.009412825,0.008660704,0.9402091
SRR5078976,0.04171738,0.009412825,0.008660704,0.9402091
SRR6265077,0.04171738,0.009412825,0.008660704,0.9402091
SRR5549039,0.8201172,0.07773274,0.009373635,0.09277642
SRR5549058,0.820163,0.07759747,0.009325266,0.09291422
SRR5429359,0.15868993,0.6729794,0.16833065,0.0
SRR5757867,0.032041565,0.17528342,0.792675,0.0
SRR5651455,0.31132805,0.018170178,0.009149671,0.6613521
SRR6264509,0.04171738,0.009412825,0.008660704,0.9402091
SRR6724459,0.820163,0.07759616,0.009324729,0.09291607
SRR7507363,0.041733712,0.009413511,0.008661211,0.94019157
SRR6331271,0.036823373,0.17119293,0.7919837,0.0
