,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
ERR1809129,0.006286353,0.028550506,0.011202425,0.9539607
SRR5203001,0.008210599,0.02767697,0.011984289,0.9521282
SRR6264812,0.0079167485,0.038697243,0.013724327,0.9396617
SRR5602317,0.018326133,0.028332412,0.018196166,0.93514526
SRR5079154,0.0062692463,0.027941644,0.0113119185,0.9544772
SRR5399213,0.0028055906,0.12516761,0.15286031,0.7191665
SRR6264133,0.006275654,0.026275575,0.011610061,0.9558387
ERR719982,0.00938347,0.035921484,0.01205194,0.9426431
SRR5203396,0.008119166,0.046402156,0.020890683,0.92458797
SRR5580429,0.00856635,0.061438948,0.055029213,0.8749655
SRR5602166,0.017297387,0.02760905,0.0091816485,0.9459119
SRR5429113,0.02057299,0.03847733,0.3136416,0.6273081
ERR719364,0.009376019,0.030991882,0.014635891,0.94499624
SRR7507593,0.004304081,0.056231022,0.041179746,0.89828515
SRR6264545,0.0062756836,0.026259184,0.011614919,0.95585024
SRR6264556,0.012014538,0.05338922,0.050133586,0.88446265
ERR719043,0.010451913,0.04757276,0.02933541,0.9126399
SRR6474216,0.03185883,0.099821806,0.008004308,0.8603151
SRR5761739,0.15292788,0.40753123,0.013035208,0.42650568
SRR6450960,0.029209018,0.036226332,0.010085285,0.92447937
ERR209763,0.018375486,0.55143493,0.008257866,0.42193174
SRR5637747,0.017020881,0.027663082,0.009704143,0.9456119
ERR321371,0.010807425,0.033003032,0.012602866,0.9435867
ERR1809119,0.013323247,0.033902258,0.012559503,0.940215
SRR5758134,0.003839016,0.079485744,0.07796255,0.8387127
ERR719016,0.010676771,0.049534887,0.028688043,0.91110027
SRR6724510,0.15096813,0.046093225,0.025777698,0.77716094
ERR719136,0.011902392,0.028168142,0.0111524165,0.9487771
SRR2726141,0.0077425838,0.027776003,0.0118608475,0.95262057
ERR505084,0.004949361,0.043465316,0.026807755,0.92477757
SRR5203401,0.045273542,0.027721524,0.0073280334,0.9196769
SRR7507423,0.006592393,0.028224498,0.011197597,0.9539855
ERR720209,0.015050113,0.061578333,0.02154687,0.9018247
SRR5429277,0.006275773,0.026257098,0.011613518,0.9558536
SRR6901807,0.006273836,0.026274353,0.011626124,0.9558257
SRR5609995,0.018107444,0.028457731,0.009293586,0.94414127
SRR3160441,0.018347442,0.031289965,0.010695934,0.9396666
ERR011132,0.015860379,0.3082617,0.014110059,0.66176784
ERR209738,0.030667096,0.5313433,0.0045636594,0.4334259
SRR5649140,0.03104803,0.057643414,0.018588811,0.89271975
SRR5078983,0.0062762797,0.026257545,0.011613697,0.9558525
ERR695623,0.0067148507,0.25998798,0.1409159,0.59238124
SRR5580627,0.009765893,0.02759102,0.011328518,0.95131457
SRR5802342,0.009046078,0.028107762,0.012233138,0.950613
SRR5079273,0.0062757134,0.026257515,0.011613518,0.9558532
SRR5649130,0.03498745,0.040319532,0.011070609,0.9136224
SRR6724384,0.03523931,0.031039178,0.009319067,0.9244025
SRR5758168,0.0101905465,0.07470298,0.6520323,0.26307416
ERR209453,0.013111472,0.029566407,0.010500431,0.9468217
ERR011245,0.07597408,0.03952658,0.007961273,0.87653804
SRR6330950,0.044062227,0.029424787,0.008177042,0.9183359
SRR5757884,0.010337234,0.027811289,0.011306405,0.9505451
SRR5091472,0.07809523,0.37520203,0.024214298,0.5224885
ERR719561,0.009086549,0.035639286,0.021220267,0.9340539
ERR720180,0.013624877,0.028234124,0.01068911,0.9474519
SRR6724437,0.033653855,0.031764925,0.008227676,0.9263536
SRR5757880,0.0088073015,0.04013264,0.07215583,0.8789042
SRR5803701,0.006296456,0.026263863,0.011608511,0.95583117
ERR209487,0.0383583,0.043785453,0.0081908405,0.9096654
ERR720025,0.007907689,0.04205352,0.012812078,0.9372267
SRR5578947,0.12902549,0.3134471,0.0057676136,0.55175984
SRR5203069,0.046626657,0.03008166,0.00866282,0.91462886
SRR5648814,0.01282841,0.02909255,0.011614352,0.94646466
SRR6265660,0.011117935,0.0359115,0.02212292,0.93084764
ERR525835,0.009755045,0.039768398,0.01066637,0.93981016
ERR719861,0.02040118,0.029198885,0.009466797,0.9409331
SRR1766004,0.047305077,0.056661785,0.016139835,0.8798933
SRR6331419,0.0062092245,0.026836842,0.012042105,0.9549118
SRR5203280,0.028574169,0.029917926,0.008524537,0.9329834
ERR209631,0.0030621588,0.160696,0.123310834,0.71293104
SRR6724499,0.0898675,0.032375038,0.0076218843,0.87013555
SRR5399409,0.00605613,0.032381177,0.012643844,0.9489188
SRR6182543,0.027249068,0.026854217,0.00796628,0.93793046
SRR5813385,0.013379186,0.028971642,0.010951996,0.9466972
ERR011110,0.058333337,0.029404908,0.007349938,0.9049118
SRR5078793,0.0062758327,0.026257217,0.011613548,0.9558534
SRR5202877,0.007172346,0.03046152,0.014782816,0.9475833
SRR5866306,0.009700149,0.48498508,0.005970955,0.4993438
ERR719729,0.015498877,0.0661194,0.033087015,0.8852947
SRR5757940,0.0049747825,0.07590994,0.8360768,0.08303845
SRR6331070,0.007333696,0.026614994,0.01139909,0.9546522
SRR5648930,0.04153791,0.051924706,0.013682187,0.89285517
SRR053021,0.0059463084,0.43252978,0.0029135346,0.5586104
SRR5866446,0.16705066,0.03512281,0.007863611,0.7899629
