,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR309612,1.6596268e-06,0.0005654993,0.0002034166,1.0543638e-06,8.2922925e-05,0.0005591872,0.00028139492,0.0002663888,6.825062e-05,0.997533,0.00032709815,0.00011004492,0.0
ERR309774,1.7487569e-06,0.00057420204,0.00020445118,1.0702463e-06,8.458824e-05,0.00055857125,0.00028290303,0.00026986247,6.762543e-05,0.99751645,0.00033021232,0.0001083423,0.0
ERR1599546,1.3934906e-06,2.027079e-07,2.8268609e-05,8.271685e-05,0.00010971011,0.99659693,0.00096863287,0.0005057335,0.0001899105,0.00095562486,0.00054076867,2.0150095e-05,0.0
ERR1598740,8.336831e-07,1.4328307e-07,2.8811182e-05,9.308234e-05,9.693248e-05,0.99694675,0.0009893101,0.00030687332,0.00018240971,0.00080940034,0.00052321143,2.2232156e-05,0.0
ERR1599203,1.6771203e-06,2.579481e-07,4.219955e-05,0.00013834238,8.348374e-05,0.9954439,0.002358228,0.00044637918,0.00021705031,0.00021088123,0.00013944507,4.410309e-06,0.0009137988
ERR1598735,1.7330859e-06,1.5455608e-07,3.9405375e-05,0.00012042759,7.819904e-05,0.9968611,0.0010313495,0.0004646743,0.00014108096,0.0006897193,0.0005472394,2.4872788e-05,0.0
ERR1598178,1.8731664e-05,2.8782031e-05,0.00022298355,5.468541e-07,0.0011384428,0.13904572,0.002643478,0.00021006555,3.9086073e-05,0.8534928,0.0031219476,3.7382153e-05,0.0
ERR1598105,6.782407e-07,1.1866631e-07,3.0924813e-05,0.00010038386,8.933052e-05,0.997001,0.0010619387,0.00023842658,0.00017489179,0.0007751542,0.00050265394,2.4516372e-05,0.0
ERR1599291,9.969986e-07,2.0928242e-07,2.9696675e-05,0.00010010888,0.00012248121,0.9967417,0.0009336206,0.00035825357,0.00018978449,0.0008697637,0.00062514265,2.826651e-05,0.0
ERR1599096,6.86071e-07,1.1989832e-07,3.062587e-05,9.953699e-05,9.0322814e-05,0.99699974,0.0010521791,0.00024336684,0.00017614188,0.00078113674,0.0005019701,2.4270605e-05,0.0
ERR1599617,6.4664187e-07,1.139258e-07,3.1532214e-05,0.000102444385,8.711365e-05,0.9970099,0.0010847107,0.0002230366,0.00017232887,0.0007626988,0.00050047087,2.5078085e-05,0.0
ERR1599604,6.399641e-07,1.130106e-07,3.1334228e-05,0.00010186058,8.8024375e-05,0.99701077,0.0010763049,0.00022401569,0.0001741121,0.0007717055,0.00049606024,2.5036657e-05,0.0
ERR1599097,7.241335e-07,1.287915e-07,3.0614407e-05,9.9643024e-05,9.327891e-05,0.9969721,0.0010397563,0.0002566506,0.00017832217,0.0007898017,0.0005144023,2.4523195e-05,0.0
ERR1599031,1.4039991e-06,1.5855692e-07,3.4750225e-05,0.00011901197,9.662796e-05,0.9969784,0.0010493344,0.0004628585,0.00019136447,0.0006064786,0.0004390161,2.0536487e-05,0.0
ERR1598470,1.1550884e-06,1.5728935e-07,3.475459e-05,0.00011370005,9.241906e-05,0.99688905,0.0010426177,0.00037330308,0.00016541645,0.00070761814,0.0005548207,2.4938718e-05,0.0
ERR1598074,6.864761e-07,1.1600757e-07,3.186172e-05,0.000103409235,8.670798e-05,0.99700785,0.0010801441,0.00023497306,0.00017004003,0.0007573834,0.00050190673,2.48804e-05,0.0
ERR1598513,7.8569815e-07,1.3783875e-07,2.9144228e-05,9.403997e-05,9.532414e-05,0.9969565,0.0010060474,0.00028671933,0.0001806802,0.00080730213,0.0005205828,2.2763124e-05,0.0
ERR1599277,1.7226603e-06,5.2883365e-07,0.000112483416,0.00012238871,7.4945405e-05,0.9938675,0.0012348294,0.00012309784,7.3132745e-05,0.0006991029,0.0034869015,5.71108e-05,0.0001462102
ERR1599553,7.3714267e-07,1.188733e-07,3.1721655e-05,0.00010414371,8.973222e-05,0.9970161,0.0010506724,0.00025705123,0.0001758709,0.00075681024,0.00049246824,2.4559442e-05,0.0
ERR1599342,6.5783763e-07,1.13914005e-07,3.144571e-05,0.00010244823,8.82727e-05,0.9970127,0.0010721122,0.00022984885,0.00017426138,0.00076816656,0.0004949904,2.497449e-05,0.0
ERR1598259,6.8302745e-07,1.1831592e-07,3.1313743e-05,0.000101617465,8.820162e-05,0.9970033,0.0010701544,0.0002370582,0.00017260075,0.00076578185,0.0005045596,2.4638211e-05,0.0
ERR1599356,6.47749e-07,1.1566027e-07,3.0890842e-05,0.0001002252,8.8948014e-05,0.99700373,0.0010678704,0.00022845315,0.00017500755,0.0007794844,0.0005000258,2.4705696e-05,0.0
ERR1598406,1.3653141e-06,1.492309e-07,3.734306e-05,0.00012733729,8.664926e-05,0.99687606,0.0010943151,0.000402218,0.00016763051,0.0006364484,0.0005451786,2.537833e-05,0.0
ERR1598280,6.5082236e-07,1.14873906e-07,3.112625e-05,0.00010110665,8.859435e-05,0.9970072,0.0010702157,0.0002286305,0.00017456026,0.0007749274,0.0004981187,2.4817973e-05,0.0
ERR1598447,1.0859882e-06,1.7303331e-07,2.8266357e-05,9.206911e-05,0.00010392857,0.99687576,0.0009315295,0.000406294,0.00018775843,0.0008081828,0.00054354104,2.1368372e-05,0.0
ERR1599169,8.110641e-07,1.5540652e-07,2.757313e-05,8.722011e-05,9.9305835e-05,0.9968136,0.0009894641,0.00029724996,0.00018393961,0.00093910395,0.00053910975,2.2422015e-05,0.0
ERR1598384,8.5488216e-07,1.4000999e-07,3.5296733e-05,0.00011548975,8.540274e-05,0.9969593,0.001225199,0.0002917438,0.00018351195,0.0006036099,0.0004786194,2.0824158e-05,0.0
ERR1599370,1.2275453e-06,1.7827911e-07,2.8500062e-05,9.4202136e-05,0.000105970896,0.9968717,0.0009122801,0.0004554108,0.00019290965,0.00078896206,0.0005275324,2.1101667e-05,0.0
ERR1598492,1.0014834e-06,1.6549149e-07,3.4559547e-05,7.233689e-05,8.2199906e-05,0.9966339,0.0009520801,0.0002897687,0.00011721007,0.0010568876,0.00073517044,2.4624414e-05,0.0
ERR1598694,9.713615e-07,1.5595205e-07,3.296616e-05,0.00010624215,9.569106e-05,0.9968817,0.0010425856,0.00033107025,0.00017080296,0.00074898545,0.00056348013,2.5261956e-05,0.0
ERR1598769,7.5349527e-07,1.2103006e-07,3.3341836e-05,0.000104331506,8.155078e-05,0.9968929,0.0011045526,0.0002490801,0.00015429873,0.0008232439,0.0005310435,2.4672432e-05,0.0
ERR1599076,2.3716393e-06,1.8570854e-07,4.4873916e-05,0.0001082022,5.9254697e-05,0.99640816,0.0012347783,0.0005765296,9.810248e-05,0.0007602712,0.0006826603,2.4684761e-05,0.0
ERR1599632,3.287838e-06,1.3135827e-06,3.893797e-05,4.8134145e-05,9.1502545e-05,0.9865099,0.00088635087,0.0006682873,7.240076e-05,0.0014168322,0.0035524964,2.0619993e-05,0.006689906
ERR1599095,6.402054e-07,1.1305493e-07,3.1317384e-05,0.00010174042,8.7972025e-05,0.9970103,0.0010761278,0.00022422426,0.000173904,0.0007723313,0.00049626915,2.5009293e-05,0.0
ERR1598993,1.2985075e-06,1.4408279e-07,3.3195425e-05,0.000113246395,9.660554e-05,0.99697214,0.0009578346,0.00044595983,0.00018027656,0.00070274534,0.00047369467,2.2895725e-05,0.0
ERR1598602,7.042187e-07,1.2717511e-07,2.9674897e-05,9.58281e-05,9.23856e-05,0.9969779,0.0010352037,0.0002538533,0.0001768045,0.0007991171,0.0005147895,2.3613851e-05,0.0
ERR1598730,9.3051887e-07,1.2903983e-07,3.4039804e-05,0.00011318114,8.659067e-05,0.99701387,0.0010972635,0.00030174822,0.00017038254,0.0006671258,0.0004908803,2.3813684e-05,0.0
ERR1599039,6.9585315e-07,1.2707098e-07,2.976103e-05,9.597765e-05,9.211948e-05,0.9969739,0.0010391341,0.0002496874,0.00017629894,0.00080105313,0.00051752845,2.3769482e-05,0.0
ERR1598745,7.005631e-07,1.4024884e-07,2.7449025e-05,8.736027e-05,9.7214506e-05,0.9969282,0.0010031121,0.00026232583,0.00018190782,0.0008503119,0.00053884834,2.2372857e-05,0.0
ERR1598211,6.60813e-07,1.2613124e-07,2.8999522e-05,9.311779e-05,9.2440125e-05,0.9969692,0.0010386842,0.00024093712,0.00017811373,0.0008160495,0.00051824097,2.3437879e-05,0.0
ERR1599397,1.1387615e-06,1.3512408e-07,3.578785e-05,0.00011882277,8.252761e-05,0.9970022,0.0010754511,0.0003457062,0.00015838916,0.0006449254,0.0005109107,2.4127143e-05,0.0
ERR1599225,6.396253e-07,1.1300108e-07,3.1331467e-05,0.000101858226,8.804064e-05,0.99701065,0.0010763641,0.00022392634,0.0001741418,0.00077182427,0.0004960303,2.5040661e-05,0.0
ERR1598361,6.489019e-07,1.1348647e-07,3.1406063e-05,0.00010220194,8.809039e-05,0.99701184,0.00107473,0.0002267241,0.00017408268,0.0007692372,0.0004958232,2.5012509e-05,0.0
