,root:Engineered,root:Environmental,root:Host-associated,Unknown
ERR1598269,0.00010217555,0.0002782942,0.99961954,0.0
ERR1598366,0.00010216835,0.00027823463,0.99961954,0.0
ERR1599286,0.00010221181,0.000278473,0.9996193,0.0
ERR1599530,0.00010216835,0.00027823463,0.99961954,0.0
ERR1598780,0.00010217176,0.0002782942,0.9996195,0.0
ERR1598874,0.00010217526,0.0002782942,0.9996195,0.0
ERR1598828,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598953,0.000102168546,0.000278324,0.9996195,0.0
ERR1598507,0.00010216942,0.0002782942,0.99961954,0.0
ERR1599292,0.00010216836,0.00027823466,0.9996196,0.0
ERR1598415,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599233,0.00010216835,0.00027823463,0.99961954,0.0
ERR1599222,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598637,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598624,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598484,0.00010216874,0.0002782942,0.99961954,0.0
ERR1599476,0.000102212776,0.00027853253,0.9996192,0.0
ERR1598369,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599347,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598904,0.00010217001,0.00027823463,0.99961954,0.0
ERR1598200,0.00010217428,0.00027835378,0.9996194,0.0
ERR1599610,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598184,0.000102172635,0.0002782942,0.9996195,0.0
ERR1598910,0.00010216855,0.00027823466,0.9996196,0.0
ERR1599153,0.00010217011,0.00027829423,0.99961954,0.0
ERR1598811,0.00010216875,0.00027817505,0.99961966,0.0
ERR1598087,0.000102176935,0.00027829423,0.99961954,0.0
ERR1598591,0.00010219367,0.00027844316,0.9996193,0.0
ERR1599062,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598423,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599482,0.0001021894,0.0002783836,0.9996194,0.0
ERR1598183,0.00010216874,0.0002782942,0.99961954,0.0
ERR1598219,0.00010216933,0.00027823466,0.9996196,0.0
ERR1598093,0.00010216855,0.00027823466,0.9996196,0.0
ERR1598479,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599426,0.00010216836,0.00027823466,0.9996196,0.0
ERR1599508,0.00010217215,0.0002782942,0.9996195,0.0
ERR1598682,0.00010216942,0.00027823463,0.99961954,0.0
ERR1598358,0.00010216855,0.00027823466,0.9996196,0.0
ERR1598166,0.00010217244,0.0002782942,0.99961954,0.0
ERR1598728,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599103,0.00010216972,0.00027823463,0.99961954,0.0
ERR1598885,0.00010216835,0.00027823463,0.99961954,0.0
ERR1599427,0.00010216875,0.00027817505,0.99961966,0.0
ERR1599067,0.00010216835,0.00027823463,0.99961954,0.0
ERR1599375,0.00010217594,0.00027835378,0.9996194,0.0
ERR1599179,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598954,0.00010216835,0.00027823463,0.99961954,0.0
ERR1598195,0.0001021777,0.0002782942,0.99961954,0.0
ERR1598831,0.00010216835,0.00027823463,0.99961954,0.0
ERR1598802,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599472,0.000102171274,0.00027823463,0.99961954,0.0
ERR1598496,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598393,0.00010217828,0.0002782942,0.99961954,0.0
ERR1598835,0.00010216913,0.0002782942,0.9996195,0.0
ERR1599243,0.00010216835,0.00027823463,0.99961954,0.0
ERR1598387,0.00010216835,0.0002782942,0.99961954,0.0
