,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR1599309,0.00039370867,0.0011887806,0.0006953542,0.00070315716,0.0007646315,0.9892353,0.0019372129,0.0028009391,0.0007160929,0.00075181446,0.00032282926,0.00049019256,0.0
ERR1599627,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598834,0.00039370864,0.0011888696,0.0006952948,0.0007031571,0.00076469075,0.9892352,0.0019371533,0.0028009387,0.0007161225,0.0007518144,0.0003228292,0.0004901925,0.0
ERR1599594,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599399,0.00039370873,0.0011887512,0.0006953246,0.0007030979,0.0007646316,0.9892353,0.0019370648,0.0028011175,0.000716182,0.0007518146,0.00032288863,0.0004901629,0.0
ERR1598169,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598649,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598310,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598469,0.00039370856,0.0011888692,0.00069535396,0.0007032459,0.0007646906,0.989235,0.0019372122,0.0028009382,0.00071609265,0.0007518142,0.00032282915,0.0004902517,0.0
ERR1598706,0.00039196547,0.0011858654,0.0006931419,0.0006980967,0.0007671379,0.98922414,0.0019284962,0.0028186443,0.0007191325,0.0007564272,0.0003245264,0.0004924268,0.0
ERR1599338,0.0003931475,0.0011879576,0.00069452793,0.00070147053,0.0007653781,0.9892325,0.001934199,0.0028064162,0.0007170172,0.00075321377,0.00032327636,0.00049087807,0.0
ERR1599032,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599524,0.00039376793,0.0011887804,0.0006953541,0.00070315704,0.0007646313,0.9892351,0.0019372124,0.002800968,0.0007160927,0.00075184397,0.00032282918,0.00049019244,0.0
ERR1598300,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019370939,0.0028009685,0.0007161225,0.0007518144,0.0003228292,0.0004901925,0.0
ERR1599234,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599189,0.00039370867,0.0011888103,0.0006952949,0.00070315716,0.00076469086,0.9892352,0.0019370646,0.0028010579,0.00071612257,0.00075190346,0.0003228886,0.00049019256,0.0
ERR1598638,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599115,0.0003936793,0.0011887222,0.00069520634,0.0007029203,0.0007647804,0.98923486,0.0019366802,0.0028018015,0.0007162121,0.00075199304,0.0003228295,0.00049031153,0.0
ERR1599244,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599210,0.000393768,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019370939,0.0028009685,0.0007161225,0.0007518144,0.0003228292,0.0004901925,0.0
ERR1598150,0.00039344263,0.0011883683,0.00069494057,0.0007025359,0.00076490047,0.9892343,0.0019356452,0.0028036756,0.00071645074,0.0007522614,0.00032291908,0.0004904608,0.0
ERR1598211,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599052,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598102,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598672,0.0003936199,0.0011887517,0.0006952656,0.00070306857,0.00076472096,0.98923504,0.00193757,0.0028004958,0.00071624166,0.0007522006,0.00032285912,0.00049019285,0.0
ERR1599245,0.00039376793,0.0011888694,0.0006952947,0.00070315704,0.0007646907,0.9892351,0.001937153,0.002800968,0.0007160927,0.0007518143,0.00032282918,0.00049019244,0.0
ERR1598216,0.000393768,0.0011887805,0.0006952948,0.0007031571,0.00076469075,0.9892352,0.0019370643,0.0028009685,0.0007160928,0.0007518737,0.0003228292,0.0004901925,0.0
ERR1598303,0.00039370873,0.0011888104,0.00069529493,0.0007031573,0.0007646613,0.9892352,0.0019370648,0.0028010285,0.000716093,0.0007519036,0.00032288863,0.00049022224,0.0
ERR1599452,0.0003936792,0.0011887219,0.00069523585,0.0007029795,0.0007647802,0.98923475,0.0019373621,0.0028009405,0.0007163009,0.0007521412,0.0003229184,0.0004901928,0.0
ERR1599531,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599159,0.000387551,0.0011905133,0.0007007783,0.0006924707,0.0007782767,0.9891677,0.001932177,0.002824209,0.00072193315,0.0007739152,0.00033684477,0.000493681,0.0
ERR1599119,0.00039367907,0.0011888104,0.00069529493,0.0007031276,0.0007646909,0.9892349,0.0019370648,0.0028011175,0.0007161227,0.00075193326,0.00032288863,0.0004902519,0.0
ERR1598859,0.00038478657,0.0011833196,0.0006933754,0.00068212976,0.0007765164,0.9891753,0.001949243,0.0027993757,0.00073405576,0.000790937,0.00033719267,0.0004937125,0.0
ERR1598816,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598127,0.0003919965,0.0011861068,0.000694242,0.0006990189,0.0007648857,0.989231,0.0019530397,0.0027832878,0.00072124146,0.00076061324,0.0003250319,0.0004895209,0.0
ERR1599285,0.0003439725,0.001173283,0.0008876174,0.0007205518,0.0009789758,0.9878437,0.0022268097,0.0031383785,0.000721945,0.0008418196,0.00059344445,0.00052962394,0.0
ERR1599621,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598336,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598845,0.000393768,0.0011888696,0.0006952948,0.0007031274,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.0007161225,0.0007518144,0.0003228292,0.0004901925,0.0
ERR1598209,0.00039376793,0.001188899,0.0006953541,0.00070315704,0.0007646907,0.9892351,0.001937153,0.002800968,0.0007160927,0.0007518143,0.00032282918,0.00049013307,0.0
ERR1599506,0.00039341324,0.0011883691,0.0006950301,0.0007024474,0.0007649307,0.98923385,0.0019380201,0.0028006812,0.0007167776,0.00075300364,0.0003231863,0.00049031276,0.0
ERR1598106,0.0003937086,0.0011888694,0.0006952947,0.00070318667,0.0007646313,0.9892351,0.0019372124,0.0028009384,0.0007161224,0.0007518143,0.00032282918,0.00049022207,0.0
ERR1598944,0.00039370873,0.0011888104,0.0006953246,0.0007030683,0.0007646909,0.9892352,0.0019370054,0.0028011175,0.0007161227,0.0007518146,0.00032288863,0.0004901926,0.0
ERR1598294,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598323,0.00039294222,0.0011907538,0.00069471024,0.0007060143,0.00076873554,0.98922694,0.0019324011,0.0027990756,0.00072061166,0.00075191294,0.000322863,0.00049307663,0.0
ERR1598181,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598237,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599180,0.00013838446,0.0022657162,0.0024857083,0.0003639693,0.0028925457,0.96370625,0.0028494433,0.0020134267,0.00093651086,0.009101194,0.012801383,0.0004454305,0.0
ERR1598214,0.00039361982,0.0011887514,0.0006953248,0.00070303876,0.00076478015,0.98923486,0.0019372728,0.0028009105,0.0007162415,0.0007520521,0.0003228887,0.00049019273,0.0
ERR1599287,0.0003937086,0.0011888694,0.0006953541,0.00070315704,0.0007646907,0.9892351,0.0019370937,0.002800968,0.0007160927,0.00075184397,0.00032282918,0.00049022207,0.0
ERR1599440,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1599578,0.000393768,0.0011888696,0.0006952948,0.0007031274,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.0007161225,0.0007518144,0.0003228292,0.0004901925,0.0
ERR1598786,0.00039370864,0.0011888696,0.0006952948,0.0007031868,0.00076463143,0.9892352,0.0019372127,0.0028009387,0.00071603345,0.0007518144,0.0003228292,0.0004902221,0.0
ERR1598078,0.0003646066,0.001223023,0.00071455055,0.0006401392,0.00080163585,0.9890471,0.0020519954,0.0025729043,0.00076913467,0.00094956806,0.00038835173,0.0004768914,0.0
ERR1598822,0.0003937086,0.0011888694,0.0006952947,0.00070318667,0.0007646313,0.9892351,0.0019372124,0.0028009384,0.0007161224,0.0007518143,0.00032282918,0.00049022207,0.0
