,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR1599222,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598120,0.0040872875,0.00021871852,0.0041288123,0.0011775838,0.004616132,0.9792075,0.0047839377,0.0017800309,0.0
ERR1599499,0.00421325,0.00020719887,0.004068196,0.0012302635,0.0043378933,0.9780239,0.0061033983,0.0018158397,0.0
ERR1599069,0.004087288,0.0002186891,0.0041289306,0.0011775545,0.004616103,0.97920734,0.0047840853,0.001780031,0.0
ERR1599379,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598352,0.004088352,0.00021857322,0.0041290238,0.0011780058,0.0046127574,0.9791959,0.004796751,0.0017806345,0.0
ERR1598870,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599110,0.0040878025,0.00021866043,0.004128886,0.0011778234,0.004614706,0.97920257,0.004789311,0.0017802431,0.0
ERR1598777,0.0041201864,0.00021552424,0.004114064,0.001190976,0.0045415508,0.9789288,0.0050991117,0.0017898638,0.0
ERR1598075,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599017,0.0040873173,0.00021874797,0.0041288715,0.0011775839,0.0046160147,0.9792073,0.004784174,0.0017800605,0.0
ERR1598310,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599350,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599188,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047838194,0.0017800307,0.0
ERR1599494,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598238,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598793,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047838194,0.0017800307,0.0
ERR1599497,0.004441372,0.0001894157,0.0039479355,0.0013315444,0.0038892317,0.97496444,0.009363496,0.0018726225,0.0
ERR1598180,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599079,0.0040872903,0.00021865981,0.004129168,0.0011774963,0.004615841,0.9792067,0.0047846767,0.0017802087,0.0
ERR1598938,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599390,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598869,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599133,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599090,0.0040874635,0.00021871849,0.0041287825,0.0011775543,0.0046161315,0.9792075,0.0047838194,0.0017799718,0.0
ERR1598820,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598595,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598781,0.0040874043,0.00021871846,0.0041288114,0.0011775835,0.0046161897,0.9792075,0.0047837603,0.0017800304,0.0
ERR1598853,0.004087405,0.00021871849,0.0041287234,0.0011775836,0.00461619,0.9792075,0.0047838194,0.0017800307,0.0
ERR1599274,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
