,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
ERR209411,0.026012331,0.014757305,0.021416962,0.0072337687,0.93057966
SRR5761790,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5813470,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR719351,0.025859416,0.014681309,0.021354109,0.0072384477,0.9308667
ERR209219,0.02588135,0.014690012,0.021361053,0.0072380006,0.9308296
SRR5218395,0.02583173,0.014652133,0.02132982,0.0072408617,0.93094546
SRR6474278,0.15530339,0.022488475,0.013015717,0.02276963,0.7864228
SRR6876220,0.03560567,0.016820729,0.018998057,0.008280456,0.9202951
ERR209558,0.025877029,0.014664739,0.021336973,0.0072391033,0.93088216
SRR5218313,0.81632644,0.02288875,0.017736644,0.08462775,0.05842042
SRR6264422,0.025854468,0.014675528,0.021347731,0.007238239,0.930884
SRR5100584,0.025830656,0.014650732,0.02132824,0.0072407424,0.9309496
SRR1766037,0.02583623,0.014651805,0.021329254,0.0072411,0.9309416
ERR719231,0.026311904,0.014938861,0.021532059,0.007212341,0.93000484
SRR5548292,0.81631005,0.022896588,0.017743945,0.08464754,0.058401883
SRR5813388,0.025827706,0.014647663,0.021325886,0.0072411,0.9309577
SRR5431495,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5078733,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR525864,0.43171924,0.02580294,0.015764028,0.0311988,0.495515
SRR5757986,0.16143943,0.03132233,0.13035084,0.67688745,0.0
SRR5548999,0.815858,0.022874624,0.017752051,0.084677696,0.058837652
DRR092054,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR719287,0.025835752,0.0146559775,0.021332204,0.007240206,0.93093586
ERR209489,0.3052253,0.023551732,0.016057938,0.026101112,0.6290639
SRR5399214,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5602033,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6182336,0.025829434,0.01464951,0.021327317,0.007240951,0.9309528
SRR5813437,0.03709796,0.017223746,0.016471565,0.009775251,0.91943145
SRR5947868,0.7878764,0.023275495,0.017573386,0.075954884,0.09531975
ERR719023,0.15590972,0.024901837,0.011234015,0.022268444,0.785686
SRR5079268,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR497648,0.5198161,0.016216993,0.028216839,0.18268749,0.2530626
SRR5079242,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6185181,0.025947988,0.014771074,0.021427602,0.0072308183,0.9306225
DRR092053,0.03832993,0.027258068,0.028781623,0.0067725778,0.89885783
SRR5813203,0.18861571,0.030862957,0.012365788,0.016186357,0.7519692
ERR720192,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR1763693,0.23271695,0.023791015,0.013660699,0.025199711,0.7046316
SRR6331368,0.025952041,0.01464206,0.02142474,0.0072708726,0.9307103
SRR5610157,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5218303,0.8129814,0.023065716,0.018208295,0.086622834,0.059121728
SRR5757757,0.090170234,0.022893101,0.050715595,0.3565656,0.4796555
SRR5866408,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5549116,0.8162024,0.022895157,0.017753363,0.08468932,0.05845976
SRR5813232,0.025828242,0.014647901,0.021326035,0.0072411597,0.93095666
SRR5813296,0.026145965,0.014771938,0.021435171,0.0072361827,0.93041074
SRR5983268,0.81542563,0.02290225,0.017739564,0.084380955,0.059551597
ERR525881,0.15987435,0.0236772,0.0124666095,0.021960467,0.7820214
SRR5079070,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5757845,0.19502306,0.026209801,0.09137222,0.65573496,0.03165996
SRR6265425,0.025828391,0.014648378,0.021326452,0.0072411,0.93095565
SRR6928786,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5648804,0.02582711,0.014647007,0.02132535,0.0072412193,0.93095934
SRR5758104,0.8084992,0.022246987,0.017903656,0.0864411,0.06490904
SRR5803713,0.025854409,0.014676183,0.02134943,0.007238716,0.93088126
SRR5866362,0.026999354,0.01465264,0.021612138,0.007315308,0.9294206
SRR961816,0.025865257,0.014687061,0.021357179,0.0072371066,0.93085337
SRR5651418,0.16802481,0.021086752,0.013562113,0.026366562,0.77095973
ERR720094,0.02630496,0.015135735,0.02170527,0.0071914494,0.9296626
SRR5548996,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
ERR719612,0.026093006,0.014924198,0.021542072,0.0072125793,0.9302281
SRR6264421,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR209396,0.025914311,0.014709085,0.021372944,0.007234961,0.9307687
SRR5079255,0.06885466,0.026733398,0.008430243,0.015675962,0.88030577
SRR5637725,0.02582711,0.014647007,0.02132541,0.0072412193,0.9309592
SRR5079165,0.026002884,0.014823556,0.02145937,0.0072212815,0.9304929
SRR5803788,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5091595,0.026296705,0.014712542,0.021405607,0.00725317,0.93033195
ERR209094,0.025827795,0.014647216,0.021324813,0.007241428,0.93095875
SRR6264743,0.025841177,0.014655888,0.021337777,0.0072416365,0.9309235
SRR5343177,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6424488,0.025827259,0.014647126,0.021325499,0.007241249,0.93095887
SRR6265659,0.13174048,0.014488906,0.018921256,0.039313465,0.7955359
SRR5803743,0.025834203,0.014654428,0.021331131,0.007240325,0.9309399
ERR719955,0.026062071,0.01470378,0.021389395,0.0072426796,0.9306021
SRR5813418,0.025902689,0.014679372,0.02135396,0.0072392523,0.93082476
SRR5758024,0.1614404,0.031322397,0.13035065,0.6768865,0.0
ERR720215,0.02940163,0.015758485,0.021200418,0.007100016,0.9265394
