,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERZ653625,6.397393e-05,2.5914695e-05,9.1173366e-05,0.000103337006,0.00023910403,0.997751,0.0013991594,0.00020447373,0.0001218915
ERZ654104,6.614729e-05,2.4551246e-05,6.0062022e-05,8.167632e-05,0.0002798736,0.99804556,0.0012372732,0.00018489361,1.9967556e-05
ERZ1027058,6.6157256e-05,2.4548224e-05,6.0130682e-05,8.174918e-05,0.0002797842,0.9980453,0.001237452,0.00018498302,1.9848347e-05
ERZ653003,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ653514,6.6365785e-05,2.4612149e-05,6.0115544e-05,8.1873004e-05,0.00028076768,0.9980389,0.0012328327,0.00018578768,2.8729439e-05
ERZ654566,6.6147535e-05,2.4551526e-05,6.0060305e-05,8.1674916e-05,0.0002798736,0.9980456,0.0012372136,0.00018501282,1.9848347e-05
ERZ654277,6.6147535e-05,2.4551246e-05,6.0061906e-05,8.167632e-05,0.0002798736,0.9980456,0.0012373328,0.00018498302,1.9729137e-05
ERZ653350,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ654342,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ653968,6.6143184e-05,2.4552719e-05,6.0065173e-05,8.167351e-05,0.000279814,0.99804544,0.001237303,0.00018507242,1.9967556e-05
ERZ653697,6.6147666e-05,2.4551267e-05,6.006122e-05,8.167554e-05,0.0002798736,0.99804556,0.0012371838,0.00018498302,1.9967556e-05
ERZ652977,6.6651715e-05,2.325137e-05,6.434589e-05,8.421285e-05,0.00030452013,0.998019,0.0011795759,0.00017923117,7.921457e-05
ERZ653681,6.614716e-05,2.4551291e-05,6.0061106e-05,8.167539e-05,0.0002798736,0.9980456,0.0012372732,0.00018498302,1.9788742e-05
ERZ1026997,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674996e-05,0.0002799332,0.9980456,0.0012371242,0.00018498302,1.9907951e-05
ERZ654579,6.614741e-05,2.4551246e-05,6.0062135e-05,8.167655e-05,0.0002798736,0.9980456,0.0012372732,0.00018498302,1.9788742e-05
ERZ653573,2.2298165e-05,9.14632e-05,0.00016748905,5.2275835e-05,0.00011590006,0.99156207,0.004134536,0.0010930598,0.0027608871
ERZ652965,0.0011303127,0.975991,0.012803048,8.480917e-05,0.0053023696,3.602833e-05,0.0015642345,0.00077548623,0.0023127794
ERZ654069,6.595466e-05,2.4636243e-05,6.0223883e-05,8.157769e-05,0.00027921796,0.99803805,0.0012410879,0.00018575788,2.3543835e-05
ERZ654901,6.0512633e-05,0.0004331955,7.1200746e-05,0.0005215906,0.0007942463,0.0050243535,0.99281305,0.00028188215,0.0
ERZ653502,5.237389e-05,3.2425854e-05,7.5102595e-05,7.441353e-05,0.00023180246,0.9973316,0.0015926957,0.00027120113,0.00033837557
ERZ653528,6.722171e-05,2.4629431e-05,6.0633396e-05,8.225759e-05,0.0002874434,0.9980229,0.0012148321,0.00018703938,5.3048134e-05
ERZ1027039,6.6178516e-05,2.4549863e-05,6.0128503e-05,8.175487e-05,0.0002799332,0.9980449,0.0012369156,0.00018507242,2.0503998e-05
ERZ653715,6.61471e-05,2.4551315e-05,6.0060764e-05,8.1674916e-05,0.0002799332,0.99804556,0.0012371242,0.00018498302,1.9967556e-05
ERZ1027096,6.735666e-05,2.4497429e-05,6.072448e-05,8.243908e-05,0.00028061867,0.99803984,0.0012382269,0.00018581748,2.0444393e-05
ERZ652714,6.619638e-05,2.4543871e-05,6.011612e-05,8.17279e-05,0.00028020144,0.9980446,0.0012361407,0.00018504262,2.1398067e-05
ERZ654308,9.9020384e-05,0.00055682444,0.00012438397,0.00071464945,0.00033545255,0.0028270923,0.99527997,6.2649e-05,0.0
ERZ653338,6.6327e-05,2.4545814e-05,6.018507e-05,8.181696e-05,0.0002799332,0.9980451,0.0012370646,0.00018513203,1.9848347e-05
ERZ1027108,8.7843444e-05,2.3888857e-05,6.477936e-05,8.745451e-05,0.0003015995,0.9979671,0.0012470186,0.00019940734,2.0861626e-05
